class,accuracy,correct,total
apple_pie,0.676,169,250
baby_back_ribs,0.88,220,250
baklava,0.904,226,250
beef_carpaccio,0.908,227,250
beef_tartare,0.824,206,250
beet_salad,0.76,190,250
beignets,0.916,229,250
bibimbap,0.932,233,250
bread_pudding,0.712,178,250
breakfast_burrito,0.788,197,250
bruschetta,0.76,190,250
caesar_salad,0.908,227,250
cannoli,0.944,236,250
caprese_salad,0.88,220,250
carrot_cake,0.852,213,250
ceviche,0.732,183,250
cheese_plate,0.924,231,250
cheesecake,0.78,195,250
chicken_curry,0.812,203,250
chicken_quesadilla,0.888,222,250
chicken_wings,0.92,230,250
chocolate_cake,0.748,187,250
chocolate_mousse,0.744,186,250
churros,0.928,232,250
clam_chowder,0.896,224,250
club_sandwich,0.908,227,250
crab_cakes,0.8,200,250
creme_brulee,0.94,235,250
croque_madame,0.888,222,250
cup_cakes,0.896,224,250
deviled_eggs,0.956,239,250
donuts,0.856,214,250
dumplings,0.908,227,250
edamame,0.996,249,250
eggs_benedict,0.896,224,250
escargots,0.92,230,250
falafel,0.82,205,250
filet_mignon,0.736,184,250
fish_and_chips,0.924,231,250
foie_gras,0.692,173,250
french_fries,0.96,240,250
french_onion_soup,0.852,213,250
french_toast,0.788,197,250
fried_calamari,0.88,220,250
fried_rice,0.9,225,250
frozen_yogurt,0.952,238,250
garlic_bread,0.84,210,250
gnocchi,0.82,205,250
greek_salad,0.9,225,250
grilled_cheese_sandwich,0.84,210,250
grilled_salmon,0.856,214,250
guacamole,0.936,234,250
gyoza,0.876,219,250
hamburger,0.86,215,250
hot_and_sour_soup,0.968,242,250
hot_dog,0.904,226,250
huevos_rancheros,0.704,176,250
hummus,0.864,216,250
ice_cream,0.784,196,250
lasagna,0.796,199,250
lobster_bisque,0.888,222,250
lobster_roll_sandwich,0.932,233,250
macaroni_and_cheese,0.868,217,250
macarons,0.988,247,250
miso_soup,0.944,236,250
mussels,0.916,229,250
nachos,0.868,217,250
omelette,0.82,205,250
onion_rings,0.896,224,250
oysters,0.94,235,250
pad_thai,0.956,239,250
paella,0.884,221,250
pancakes,0.916,229,250
panna_cotta,0.828,207,250
peking_duck,0.856,214,250
pho,0.928,232,250
pizza,0.928,232,250
pork_chop,0.688,172,250
poutine,0.896,224,250
prime_rib,0.86,215,250
pulled_pork_sandwich,0.856,214,250
ramen,0.9,225,250
ravioli,0.712,178,250
red_velvet_cake,0.908,227,250
risotto,0.804,201,250
samosa,0.876,219,250
sashimi,0.94,235,250
scallops,0.828,207,250
seaweed_salad,0.932,233,250
shrimp_and_grits,0.848,212,250
spaghetti_bolognese,0.964,241,250
spaghetti_carbonara,0.956,239,250
spring_rolls,0.852,213,250
steak,0.54,135,250
strawberry_shortcake,0.876,219,250
sushi,0.864,216,250
tacos,0.816,204,250
takoyaki,0.932,233,250
tiramisu,0.852,213,250
tuna_tartare,0.728,182,250
waffles,0.912,228,250
